id,transcription
20,IF A MAN HAD STOLEN A POUND IN HIS YOUTH AND HAD USED THAT POUND TO A MASS A HUGE FORTUNE HOW MUCH WAS HE OBLIGED TO GIVE BACK THE POUND HE HAD STILL IN ONLY WERE THE POUND TOGETHER WITH THE COMPOUND INTEREST A CRUING UPON IT OR ALL HIS HUGE FORTUNE
21,IF A LAMEAN IN GIVING BACK TO THEM POOR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED
22,HOW COMES IT THAT WHILE THE FIRST BE ATTITUDE PROMISES THE KINGDOM OF HEAVEN TO THE POOR OF HEART THE SECOND BE ATTITUDE PROMISES ALSO TO THE MEEK THAT THEY SHALL POSSESS THE LAND
23,WHY WAS THE SACRAMENT OF THE YUKURIST INSTITUTED UNDER THE TWO SPECIES OF BREAD AND WINE IF JESUS CHRIST BE PRESENT BODY AND BLOOD SO UNDIVINITY IN THE BREAD ALONE AND IN THE WINE ALONE
24,IF THE WINE CHANGE INTO VINEGAR AND THE HOST CRUMBLED INTO CORRUPTION AFTER THEY HAVE BEEN CONSECRATED IS JESUS CHRIST'S STILL PRESENT UNDER THEIR SPECIES AS GOD AND AS MAN
25,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEP INTO ASK A DIFFICULT QUESTION
26,THE RECTOR DID NOT ASK FOR A CATICISM TO HEAR THE LESSEN FROM
27,HE CLASPED HIS HANDS ON THE DESK AND SAID
28,THE RETREAT WILL BEGIN ON WEDNESDAY AFTERNOON IN HONOR OF SAINT FENCES ZAVIOR WHOSE FEAST DAY IS SATURDAY
29,ON FRIDAY CONFESSION WILL BE HEARD ALL THE AFTERNOON AFTER BEATS
30,BEWARE OF MAKING THAT MISTAKE
31,STEPHEN'S HEART BEGAN SLOWLY TO FOLD AND FADE WITH FEAR LIKE A WHITHERING FLOWER
32,HE HAS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES
33,A GREAT SAINT FRANK FRANCES SAVE YOUR
34,THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON
35,HE HAD THE FAITH IN HIM THAT MOVED SMOUNTAINS
36,A GREAT SAINT FRANCES SAVE YOUR
37,IN THE SILENCE THERE DARK FIRE CANDLED THE DUSK INTO A TAWNING GLOW
38,HE COULD WAIT NO LONGER
39,FOR A FULL HOUR HE HAD PACED UP AND DOWN WAITING BUT HE COULD WAIT NO LONGER
40,HE SET OFF A ROUGHLY FOR THE BOWL WALKING RAPIDLY LESS HIS FATHER SHRILL WHISTLED MY CALLED HIM BACK AND IN A FEW MOMENTS HE HAD ROUND THE CURVE AT THE POLICE BARRICK AND WAS SAFE
41,THE UN OF VERSITY
42,BRID AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES
43,WHO IS FEET OUR AS THE FEET OF HEARTS AND UNDERNEATH THE EVERLASTING ARMS
44,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED
45,SOON THE WHOLE BRIDGE WAS TREMBLING AND RESOUNDING
46,THE UNCOUTH FACES PASSED HIM TO BUY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STATE OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE
47,AND WITH HIMSELF HE TRIED TO HIDE HIS FACE FROM THEIR EYES BY GAZING DOWN SIDEWAYS INTO THE SHALLOWS SWIRLING WATER UNDER THE BRIDGE BUT HE STILL SAW A REFLECTION THEREIN OF THEIR TOP HEAVY SILK CATS AND HUMBLE TAP LIKE COLLARS AND LOOSED LOOSELY HANGING
48,BROTHER MA CAR DARTLE BROTHER CEL
49,THEIR PIETY WOULD BE LIKE THEIR NAMES LIKE THEIR FACES LIKE THEIR CLOTHES AND WAS IDLE FOR HIM TO TELL HIMSELF THAT THEIR HUMBLE AND CONTRACTS IT MIGHT BE PAID A FAR RICHER TRIBUTE OF DEVOTION THAN HIS HAD EVER BEEN A GIFT
50,IT WAS IDLE FOR HIM TO MOVE HIMSELF TO BE GENEROUS TOWARDS THEM TO TELL HIMSELF THAT IF HE EVER CAME TO THEIR GATES STRIPPED OF HIS PRIDE BETWEEN THEMSELVES
51,IDLE AND IN BITTERLY TO ARGUE AGAINST HIS OWN DISPASSIONATE SORT OF TUDE THAT THE COMMANDMENT OF LOVE BADE US NOT TO LOVE OUR NEIGHBOR AS OURSELVES WITH THE SAME AMOUNT AND INTENSITY OF LOVE BUT TO LOVE HIM AS OURSELVES WITH THE SAME KIND OF LOVE
52,THE PHRASE AND THE DAY AND THE SCENE HARMONIZED IN A CHORD
53,WHERES WAS IT THEIR COLORS
54,THEY WERE VOYAGING ACROSS THE DESERTS OF THE SKY A HOST OF NO MADS ON THE MARCH FLOATING A HIGH OVER IRELAND WESTWARD BOUND
55,THE EUROPE THEY HAD COME FROM LAY OUT THERE BEYOND THE IRRECY EUROPE OF STRANGE TONS AND VALIATE AND WOULD BE GERT AND CITADEL AND OF ENTRENCHED AND MARSHLED RACES
56,AGAIN AGAIN
57,A VOICE FROM BEYOND THE WORLD OF HIS CALLING
58,HE LOW STEPHEN ELSE HE COMES THE DEADLESS
59,THERE DIVING STONE POISED ON ITS RUDE SEPORTS AND ROCKING UNDER THEIR PLUNGES AND THE RUFFUMES OF THE SLOPING BREAK WATER OVER WHICH THEY SCRAMBLED IN THEIR HORSE PLAY GLEAMED WITH COLD WET LUSTRE
60,HE STOOD STILL INDIFFERENCE TO THEIR CALLS AND BURIED THEIR BACHELOR WITH EASY WORDS
61,IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF AT A LESSONS THAT MADE REPELLANT THEIR PITYABLE NAKEDNESS
62,STEPHEN ELSE DAD LLS
63,A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DAINS HAD LOOKED FORTH THROUGH THE VESTURE OF THE HAZE WRAPPED CITY
64,YOU WILL FIND ME CONTINUALLY SPEAKING OF FORMER MEN TISSION WHOLE BLIND TURNER AND INFINITE IN ALMOST THE SAME TERMS
65,THAT YOU NOT EVERY QUALITY AND SOMETIMES YOU WILL FIND ME REFERENCE THAN MISS COLORISTS SOMETIMES AS GEORUS GIRLS
66,BY BEING STUDIOUS OF COLOR THEY ARE STUDIOUS OF DIVISION AND WHILE THE PURESTRIOUS DEVOTES HIMSELF TO THE REPRESENTATION OF DECREES OF FORCE AND ONE THING ON SEPARATED LIGHT THE COLERIST HAVE FOR THEIR FUNCTION THE ATTAINMENT OF BEAUTY BY ARRANGEMENT OF THE DIVISIONS
67,MY FIRST AND PRINCIPAL REASON WAS THAT THEY INFORMED BEYOND ALL RESISTANCE ON ANY STUDENT WHOM I ATTEMPTED TO COPY THEM THIS METHOD OF LENGTH HORSES OF DISTINCT HUGE SIDE BY SIDE
68,SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID AND LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTLE AS HARD AT THE EDGE
69,DOES THE HEAD OF A PARROT THE LITTLE FLOWER IN HIS DEEP FROM A PICTURE OF CARPOSIUS ONE OF HIS SERIES OF THE LIFE OF SAINT GEORGE
70,THEN HE COMES TO THE BEAK OF IT
71,THE BROWN GROUND BENEATH HIS LEFT FOR THE MOST PART ONE TOUCH OF BLACK AS PUT FOR THE HOLLOW TO DO ALL GET LINES OF DARK GRAY TO FIND THE OUTER CURVE AND ONE LITTLE QUIVERING TOUCH OF WHITE DRAWS THE INNER EDGE OF THE MENDABLE
72,FOR BELIEVE ME THE FINAL FLAWS FEAR OF ART CAN ONLY RATIFY THEIR OPINION THAT BEAUTY OF A CARCROBON IS TO BE READ AND A BRASS PLOT TO BE GRAIN AND THE BEST SKILL OF ART IS AN INSTANTLY SEASON ON THE MANIFOLD THE LISTEN OF LIGHT WHICH HE CAN ONLY SEES BY PRECEDENTS
73,NAT YOU WILL SEE IN THESE STUDIES THAT THE MOMENT THE WIDEST ENCLOSED PROPERLY AND HARMONIZED WITH THE OTHER USE IT BECOMES SOME HOW MORE PRECIOUS AND PEARLY THAN THE WHITE PAPER AND THAT I AM NOT AFRAID TO LEAVE A WHOLE FIELD OF ENTREATED WHITE PAPER ALL ROUND IT BEING SURE THAT
74,BUT IN THIS BEEN YET COPIED FROM CORNER YOU HAVE THE TWO PRINCIPLES BROUGHT UP PERFECTLY
75,THEY ARE BEYOND ALL OTHER WORKS THAN I KNOW EXISTING THE PENNANT FOR THEIR EFFECT ON LOW SUBDUED TONS THEIR FAVORITE CHOSEN TIME OF DAY BEING EITHER DAUGHTER TWILIGHT AND EVEN THEIR BRIGHTEST SUNSETS PRODUCED CHIEFLY OUT OF GRAY PAPER
76,IT MAY BE THAT A GREAT COLORLESS WILL USE HIS UTMOST FORCE OF COLOR AS A SINGER HIS FULL POWER OF VOICE BUT LOUD OR LOYAL THE VIRTUE IS IN BOTH CASES ALWAYS IN REFINEMENT NEVER IN LOUNCE
77,IT MUST REMEMBER BE ONE OR THE OTHER
78,DO NOT THEREFORE THINK THAT THE GOTHIC SCHOOLS AN EASY ONE
79,THE LAW OF THAT SCHOOLS THAT EVERYTHING SHALL BE SEEN CLEARLY WHERE LEAST ONLY IN SUCH MISTER FAINTNESS AS SHALL BE DELIGHTFUL AND I HAVE NO DOUBT THAT THE BEST INTRODUCTION TO IT WOULD BE THE ELEMENTARY PRACTICE OF PAINTING EVERY STUDY ON A GOLDEN GROUND
80,THIS AT ONCE COMPOSE YOU TO UNDERSTAND THAT THE WORK IS TO BE IMAGINATIVE AND DECORATIVE THAT IT REPRESENTS BEAUTIFUL THINGS IN THE CLEAREST WAY BUT NOT UNDER EXISTING CONDITIONS AND THAT IN FACT YOUR PRODUCING JEWELLERS WERE RATHER THAN PICTURES
81,THAT A STYLES WERE STRAINED OR SEVERE DOES NOT MEAN THAT IT IS ALSO A RUNNING US
82,IN ALL EARLY GOTHIC ART INDEED YOU WILL FIND FAILURE OF THIS KIND ESPECIALLY DISTORTIONERY WHICH ARE IN MANY RESPECTFULLY TO BE COMPARED WITH THE SPLENDID REPOSE OF CLASSIC ART
83,THE LARGE LETTER CONTAINEDS INDEED ENTIRELY FEEBLE IN OLD DRAWN FIGURES THAT IS MERELY CHILDISH AND FAILING WORK OF AN INFER HAND IT IS NOT CHARACTERISTIC OF GOTHIC OR ANY OTHER SCHOOL
84,BUT OBSERVED KNOWING DO THIS ON ONE CONDITION THAT OF STRIVING ALSO TO CREATE IN REALITY THE BEAUTY WHICH YOU SEEK IN IMAGINATION
85,IT WILL BE WHOLLY IMPOSSIBLE FOR YOU TO RETAIN THE TRANQUILLITY OF TEMPER INFLEESTY A FAITH NECESSARY FOR NO WILL PURSE PAINTING UNLESS YOU ARE ACTIVELY GAZED AND PROMOTING THE FULLESTY IN PEACE OF PRACTICAL LIFE
86,YOU MUST LOOK AT HIM IN THE FACE FIGHT HIM CONQUER HIM WITH WHAT SCATHED YOU MAY YOU KNOW NOT THINK HE ABOUT THE WAY OF HIM
87,THE COLORS SAYS FIRST OF ALL AS MY DELICIOUS PARQUET WAS RUBY SO THIS NESTY VI FOR SHALL BE BLACK AND THEN IS THE QUESTION CAN I RUN HIM OFF EVEN THOUGH HE HAS BLACK AND MAKE HIM SLIMY
88,NOTHING WILL BE MORE PRECIOUS TO YOU AT THINK IN THE PRACTICAL STUDY OF ART THAN THE CONVICTION WHICH WILL FORCE ITSELF ON NEW MORE EVERY HOUR OF THE WAY ALL THINGS ARE BOUND TOGETHER LITTLE AND GREAT IN SPIRIT AND IN MATTER
89,YOU KNOW I HAVE JUST BEEN TELLING YOU HOW THE SCHOOLIAN MATERIALISM AND CLAY AND VALD ITSELF AT LAST AND CLOUD AND FIRE
90,HERE'S AN EQUALLY TYPICAL GREEK SCHOOL LANDSCAPE BY WILSON LOST HOLY AND GOLD MIST THE TREES SO SLIGHTLY DRAWN THAT YOU DON'T KNOW IF THEY ARE TREES OR TOWERS AND NO CARE FOR COLOR WHAT'S OVER PERFECTLY DECEPTIVE IN MARVELOUS EFFECT OF SUNSHINE
91,NOW HERE'S RALPHILE EXACTLY BETWEEN THE TWO TREES STILL DRAWN LEAF BY LEAF HOLDING FORMAL BUT BEAUTIFUL MIST COMING GRADUALLY INTO THE DISTANCE
92,WHILE THEN LAST HERE IS TERRORS GREEKS SCHOOL OF THE HIGHEST CLASS AND YOU DEFINE HIS ART ABSOLUTELY AS FIRST THE DISPLAYING INTENSELY AND WITH THE STERNEST INTELLECT OF NATURAL FORM AS IT IS AND IN THE ENVELOPED MET WITH AN EVENT
93,ONLY THERE ARE TWO SORTS OF CLOUD IN FAR
94,HE KNOWS THEM BOTHER
95,THERE'S ONE IN THERE'S ANOTHER THE DUDLEY AND THE FLINT
96,IT IS ONLY A PENCIL OUTLINE BY EDWARD BURN JONES IN ILLUSTRATION OF THE STORY OF PSYCHE IT IS THE INTRODUCTION OF PSYCHE AFTER ALL HER TROUBLES INTO HEAVEN
97,EVERY PLANET IN THE GRASS IS SET FORMALLY GROWS PERFECTLY AND MAY BE REALIZED COMPLETELY
98,EXC WAS AT ORDER AND UNIVERSAL WITH A TURNAL LIFE AND LIGHT THIS IS THE FAITH AND EFFORT OF THE SCHOOLS OF CRISTEL AND YOU MAY DESCRIBE AND COMPLETELY THERE WERE QUITE LITTLE BY TAKING ANY VERSES OF CHOSSER IN HIS TENDER MOOD AND OBSERVING HOW HE INSISTS
99,THUS IN CHOSSES DREAM
100,IN BOTH THESE HIGH KNHYTHICAL SUBJECTS THE SURROUNDING NATURE THOSE SUFFERING IS STILL DIGNIFIED AND BEAUTIFUL
101,EVERY LINE IN WHICH THE MASTER TRACES IS IT EVEN WERE SEEMINGLY NEGLIGION IS LOVELY AND SET DOWN WITH A MEDITATIVE CALMNESS WHICH MAKES THESE TWO ETCHING'S CAPABLE OF BEING PLACED BESIDE THE MOST TRACKLE WORK OF HOLBORNE OR JEER
102,BUT NOW HERE'S A SUBJECT OF WHICH YOU WILL WONDER AT FIRST WHY TURN A DROUET AT ALL
103,IT HAS NO BEAUTY WHATEVER ESPECIALLY OF PICTURESQUENESS AND ALL ITS LINES ARE CRAMPED AND POOR
104,THE CROWDNESS IN THE POVERTY ARE ALL INTENDED
105,IT IS A GLEAN OR BRAIN DOWN HER ONE SHELF OF CORN TO AN OLD WATER MILL IT'S SELF MOSSY AND RENT SCARCELY ABLE TO GET IT STONES TO TURN
106,THE SCENE IS ABSOLUTELY OURCADIAN
107,SEE THAT YOUR LIVES BE IN NOTHING WORSE THAN A BOYS CLIMBING FOR HIS ENTANGLED CITE
108,IT WILL BE WELL FOR YOU IF YOU KNOW NOT WITH THOSE WHO INSTEAD OF C HEIGHTS FLY FOULKENS WHO INSTEAD OF OBEYED THE LAST WORDS OF THE GREAT CLOUD SHEPHERD TO FEED HIS SHEEP LIVE THE LIVES HOW MUCH LESS THAN VANITY
109,ALSO A POPULAR CONTRIVANCE WHERE BY LOVE MAKING MAY BE SUSPENDED BUT NOT STOPPED DURING THE PICCIES IN
110,HURRYING THE TIRESOME PLAIC DEVIT OF A TIRELESS TONGUE
111,AND GO OR PAIN PAINFUL TO HEAR
112,HAY FEVER A HEART TROUBLE CALLS BY FALLING IN LOVE WITH A GRASS WITH HER
113,HAVIN A GOOD PLACE TO BE RAISED TO
114,HAGE OF FENCE
115,HEARDITY THE CAUSE OF ALL OUR FAULTS
116,HOR'S SENSE A DEGREE OF WISDOM THAT KEEPS ONE FROM BEATING ON THE RACES
117,HOSE MAN'S EXCUSE FOR WEDDING THE WALK
118,HOW TAIL A PLACE WERE AGAINST OFTEN GIVES UP GOOD DOLLARS FOR POOR WATERS
119,HOWKS CLEANING A DOMESTIC UP HEVAL THAT MAKES IT EASY FOR THE GOVERNMENT TO ENLIST ALL THE SOLDIERS AT NEEDS
120,HAS BEEN THE NEXT THING TO A WIFE
121,HASTY WOMAN AND BOND TIME
122,TIGHT TO A WOMAN
123,HAMPRE CRITT A HORSE DEAR THERE
124,THOSE PRETTY WRONGS THAT LIBERTY COMMITS WHEN I AM SOME TIME ABSENT FROM MY HEART THY BEAUTY AND THY YEAR'S FULL WELL BIFICS FOR STILL TEMPTATION FOLLOWS WHERE THOU
125,I ME
126,NO MATTER THEN ALTHOUGH MY FOOT DID STAND UPON THE FATHER'S EARTH REMOVE FROM THEE FOR NIMBLE THOUGHT CAN JUMP BOTH SEA AND LAND AS SOON AS THE PLACE WHERE HE WOULD BE
127,THOUGHT KILLS ME THAT I AM NOT THOUGHT TO LEAVE LARGE LENGTHS OF MILES WHEN THOU ART GONE BUT THAT SO MUCH OF EARTH AND WATER WROUGHT I MUST ATTEND TIME'S LETTER WITH MY MOON RECEIVING NOT
128,MY HEART OFF PLEAD THAT THOU WIN HIM DOST LIE A CLOSET NEVER PIERCED WITH CRISTEL EYES BUT THE DEFEND AND DOTH THAT BLEED AN EYE AND SAYS IN HIM THY FAIR APPEARANCE LIES
129,YOU ARE MY ALL THE WORLD AN I MUST STRIVE TO KNOW MY SHAMES AND PRAISE IS FROM YOUR TONGUE NONE ELSE TO ME NOR I TO NONE ALIVE THAT MY STEALED SENSE OR CHANGES RIGHT OR WRONG
130,OH TIS THE FIRST TIS FLATTERY IN MY SCENE AND MY GREAT MIND MOST KINGLY DRINKS IT UP MINE I WELL KNOWS WHAT WITH HIS DUST IS GREEN AND TO HIS PALLET DOTH PREPARE THE CUP
131,BUT RECKONING TIME WHOSE MILLION ACCIDENTS CREEK IN TWIXED VOWS IN CHANGE DECREES OF KINGS TAN'S SACRED BEAUTY BLUNT THE SHOPEST INTENTS DIVERT STRONG MINES TO THE COURSE OF ALTERING THINGS
132,LOVE IS A BABE THEN MIGHT I NOT SAY SO TO GIVE FULL GROW TO THAT WHICH DO DOTH GROW
133,SO I RETURNED REBUKED TO MY CONTENT AND GAINED BY ILL THRICE MORE THAN I HAVE SPENT
134,IT WAS AS OBSERVATION THE TRUE FROM DOUGLAS ANALS IMMEDIATELY BUT LATER IN THE EVENING OF REPLY THAT HAD THE INTERESTING CONSEQUENCE TO WHICH I CALL ATTENTION
135,SOME ONE ELSE TOLD A STORY NOT PARTICULARLY EFFECTIVE WHICH I SAW HE WAS NOT FOLLOWING
136,CRIED ONE OF THE WOMEN HE TOOK NO NOTICE OF HER HE LOOKED AT ME BUT AS IF INSTEAD OF ME HE SAW WHAT HE SPOKE OF
137,THERE WAS A UNANIMOUS GROAN AT THEIRS AND MUCH REPROACH AFTER RICH IN HIS BEYOND WAY HE EXPLAINED
138,THE STORIES WRITTEN
139,I COOL RIGHT TO MY MAN AND CLOSE THE KEY HE COULD SEND ON THE PACKET AS HE FIND IT
140,THE OTHERS RESENTED POSTPONE BUT IT WAS JUST AS COOBLED THE CHARM TO ME
141,TO THIS HIS ANSWER WAS PROMPT WHO OF SHRANK GOD NO AND IS THE RECORD YOU WAS
142,HE HUNG FIRE AGAIN A WOMAN'S
143,SHE HAS BEEN DEAD THESE TWENTY YEARS
144,SHE SENT ME THE PAGES IN QUESTION BEFORE SHE DIED
145,SHE WAS THE MOST AGREEABLE WOMAN I EVER KNOWN AND HER POSITION SHE WOULD HAVE BEEN WORTHY OF ANY WHAT HAVE HER
146,POSTON SIMPLY THAT SHE SAID SO BUT THAT I KNEW SHE HADN'T I WERE SURE I COULD SEE
147,RE EASILY JUDGE WHY WHEN YOU HEAR BECAUSE THE THING HAD BEEN SUCH A SCARE HE CONTINUED TO FIX ME
148,YOU ARE ACUTE
149,HE QUITTED THE FIRE AND DROPPED BACK INTO HIS CHAIR
150,I WILL LAY NOT TILL THE SECOND POST
151,IT WAS ALMOST THE TONE OF HOPE EVERYBODY WILL STUDY WILL STAY HE
152,CRIED THE LADIES WHOSE DEPARTURE HAD BEEN FIXED
153,MISSUS GROPH AND HOWEVER EXPRESSED THE NEED FOR LITTLE MORE LIKE
154,WHO WAS IT SHE WAS IN LOVE WITH THE STORY WILL TELL I TOOK UPON MYSELF TO REPLY OH I CANNOT WAIT FOR THE STORY THE STORYATE WON'T TELL SAID DUGLESS NOT AND ANY LITTLE VULGARLY MORE THE PITY THEN
155,ONE YOU TELL DUDLAS
156,FOR HOW IF I DON'T KNOW WHO SHE WAS IN LOVE WITH I KNOW WHO HE WAS
157,LET ME SAY HERE DISTINCTLY TO HAVE DONE WITH IT THIS NARRATIVE FROM AN EXACT TRANSCRIPT OF MY OWN MAID MUCH LATER IS WHAT I SHALL PRESENTLY GIVE
158,POOR DOUGLAS BEFORE HIS DEATH WHEN IT WAS IN SIGHT COMMITTED TO ME THE MANUSCRIPT THAT REACHED HIM ON THE THIRD OF THESE DAYS AND THAT ON THE SAME SPOT WITH IMMENSE EFFECT HE BEGAN TO READ TO OUR HARSH LITTLE CIRCLE ON THE NIGHT OF THE FOURTH
159,THE DEPARTING LADIES WHO HAD SAID THEY WOULD STAID DIDN'T OF COURSE THANK HEAVEN STAY THEY DEPARTED IN CONSEQUENCE OF A ARRANGEMENTS MADE IN NO RAGE OF CURIOSITY AS THEY PROFESSED PRODUCED BY THE TOUCHES WITH WHICH HE HAD ALREADY WORKED AS UP
160,THE FIRST OF THESE TOUCHES CONVEYED THAT THE WRITTEN STATEMENT TOOK UP THE TAIL AT A POINT AFTER IT HAD IN A MANNER BEGUN
161,HE HAD FOR HIS OWN TOWN RESIDENCE OF BIG HOUSE FILLED WITH THE SPOILS OF TRAVEL AND THE TROPHIES OF THE CHAKES BUT IT WAS TO HIS COUNTRY HOME AND OLD FAMILY PLACE IN ESSENCE THAT HE WISHED HER IMMEDIATELY TO PROCEED
162,THE AWKWARD THING WAS THAT THEY HAD PRACTICALLY NO OTHER RELATIONS AND THAT HIS OWN AFFAIRS TOOK UP ALL HIS TIME
163,THEY WERE PLENTY OF PEOPLE TO HELP BUT OF COURSE THE YOUNG LADY WHO SHOULD GO DOWN AS GOVERNESS WOULD BE IN SUPREME AUTHORITY
164,I DON'T ANTICIPATE
165,SHE WAS YOUNG UNTRIDE NERVOUS IT WAS A VISION OF SERIOUS DUTIES IN LITTLE COMPANY FOR REALLY GREAT LONELYNESS
166,HE HAS BUT THAT JUST THE BEAUTY OF HER PASSION
167,IT WAS THE BEAUTY OF IT
168,IT SOUNDED DULL THAT SOUNDED STRANGE AND ALL THE MORE SO BECAUSE OF HIS NAME CONDITION WHICH WAS
169,SHE PROMISED TO DO THIS AND SHE MENTIONED TO ME THAT WHEN FOR A MOMENT DISPARNED DELIGHTED HE HELD HER HAND THINKING HER FOR THE SACRIFICE SHE ALREADY FELT HER WOUNDED
170,PUT IT WAS THAT ALL HER REWARD ONE OF LADIES ASKED
171,HOW STRANGE IT SEEMED TO THE SAD WOMAN AS SHE WATCHED THE GROWTH AND THE BEAUTY THAT BECAME EVERY DAY MORE BRILLIANT AND THE INTELLIGENCE THAT THROUGH ITS QUIVERING SUNSHINE OVER THE TINY FEATURES OF THIS CHILD
172,GOD AS A DIRECT CONSEQUENCE OF THE SIN WHICH MAN THUS PUNISHED HAD GIVEN HER A LOVELY CHILD WHOSE PLACE WAS ON THAT SAME DISHONORED BOSOM TO CONNECT HER PARENT FOR EVER WITH THE RACE AND DESCEND OF MORTALS AND TO BE FINALLY A BLESS TO SOUL IN HEAVEN
173,YET THESE THOUGHTS AFFECTED HESTER AND LESS WITH HOPE THAN APPREHENSION
174,THE CHILD HAD A NATIVE GRACE WHICH DOES NOT INVARIABLY CO EXISTENCE WITH THOUGHTLESS BEAUTY IT'S A TIRE HOWEVER SIMPLE ALWAYS IMPRESSED THE BEHOLDER AS IF IT WERE THE VERY GUARD THAT PRECISELY BECAME IT BEST
175,THIS OUTWARD MUTEABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTYS OF HER IN HER LIFE
176,HAS JERK COULD ONLY ACCOUNT FOR THE CHILD'S CHARACTER AND EVEN THEN MOST VAGUELY AND IMPERFECTLY BY RECALLING WHAT SHE HERSELF HAD BEEN DURING THAT MOMENTOUS PERIOD WHILE PERIL WAS IMBYING HER SOUL FROM THE SPIRITUAL WORLD AND HER BODILY FRAME FROM ITS MATERIAL OF EARTH
177,THEY WERE NOW ILLUMINATED BY THE MORNING RADIANCE OF A YOUNG CHILD'S DISPOSITION BUT LATER IN THE DAY OF EARTHLY EXISTENCE MIGHT BE PARLIFIC OF THE STORM AND WHIRLWIND
178,HASTERPRIEND NEVERTHELESS THE LOVING MOTHER OF THIS ONE CHILD RAN LITTLE RISK OF ARRING ON THE SIDE OF UNDOCIVARYITY
